,UID,tYear,AADT,ESAL,pTrucks,SingleTrucks,DoubleTrucks,TrainTrucks,Unnamed: 0,sYear,IntID,Rutting,IRI,PSC,PPC,PRC,Alli,Long,SR,Begin ARM,End ARM,Is Bridge,Lane Surface Type,Lane Miles,Region_x,Federal Functional Class,Construction End Date,Substantial Completion Date,Contract Type Description,Surface Type Code,Surface Type Description,Surface Thickness,Treat Base Type Code,Treat Base Type Description,Treat Base Thickness,UTreat Base Thickness,cYear,Traffic Year,ESALs,Construction Year,Major Rehab Year,Segment Lane Miles,ESALs Since Major Rehab,Total Thickness,Total Surface Thickness,Listed Surface Type,Pavement Type,Construction Pavement Type,Major Rehab Type,Prior Major Rehab Year,Prior Major Rehab Type,sfThick,Tthick,TSfThick,STcode,cumPPT,meanMinTemp,meanMaxTemp,cumESALs,cumFTC
11475,14881.0,2008,6425,122348,13.4,387,419,55,330334.0,2008.0,18975.0,0.212,113.88,99.0,78.0,82.0,,4.0,14.0,66.28,66.38,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,1/1/1951 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.17,0.0,,0.0,0.0,1951.0,2013.0,125468.0,1923.0,2004.0,0.38,904928.0,1.26,0.68,ACP,ACP over BST (Mixed),Unknown,ACP,1964.0,ACP,0.17,1.26,0.68,BA,3497.4800415,-2.37000000477,29.2779998779,684689.843193,83.0
11477,14882.0,2008,5025,95958,13.4,303,328,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11524,14633.0,2009,6056,134995,15.88,488,379,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11528,14658.0,2009,5142,104317,14.79,403,285,73,348109.0,2009.0,20954.0,0.17,145.98,82.0,70.0,86.0,58.0,14.0,14.0,43.94,44.04,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,3/2/1999 0:00:00,10/16/1998 0:00:00,RESURFACE EXISTING RDWY,AA,ACP CLASS A AR4000W,0.15,0.0,,0.0,0.0,1999.0,2013.0,78852.0,1950.0,1998.0,0.46,1343994.0,1.38,0.55,ACP,ACP,ACP,ACP,1978.0,ACP,0.15,1.38,0.55,Other,22272.0902099,-0.374166658148,27.576666673,1082164.599,166.0
11529,14659.0,2009,6737,136820,14.79,528,373,95,347911.0,2009.0,19389.0,0.248,281.91,96.0,32.0,78.0,,,14.0,44.08,44.18,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,1/1/1950 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,2.0,Crushed Stone,0.25,0.58,1950.0,2013.0,99223.0,1950.0,1978.0,0.18,2794085.0,1.23,0.4,ACP,ACP,ACP,ACP,1950.0,ACP,0.25,1.23,0.4,BA,47885.7601929,-1.03137932332,27.8396551856,2849704.57286,427.0
11532,14692.0,2009,2556,48180,13.4,171,140,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11548,14881.0,2009,6436,122859,13.4,387,420,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11550,14882.0,2009,5109,97492,13.4,308,333,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11599,14634.0,2010,6451,126801,14.04,463,355,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11603,14658.0,2010,5651,110850,14.48,416,351,51,366380.0,2010.0,20954.0,0.145,119.917,60.0,77.0,88.0,169.0,157.0,14.0,43.94,44.04,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,3/2/1999 0:00:00,10/16/1998 0:00:00,RESURFACE EXISTING RDWY,AA,ACP CLASS A AR4000W,0.15,0.0,,0.0,0.0,1999.0,2013.0,78852.0,1950.0,1998.0,0.46,1343994.0,1.38,0.55,ACP,ACP,ACP,ACP,1978.0,ACP,0.15,1.38,0.55,Other,24541.4700928,-0.267692300563,27.4246154198,1169761.2293,177.0
11604,14659.0,2010,7614,149376,14.48,560,473,69,366203.0,2010.0,19389.0,0.222,145.385,94.0,70.0,81.0,,22.0,14.0,44.08,44.18,0.0,ACP,0.2,Southwest,Rural Other Principal Arterial,1/1/1950 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,2.0,Crushed Stone,0.25,0.58,1950.0,2013.0,99223.0,1950.0,1978.0,0.18,2794085.0,1.23,0.4,ACP,ACP,ACP,ACP,1950.0,ACP,0.25,1.23,0.4,BA,50044.7702026,-0.964000012229,27.7766667048,2959931.33247,438.0
