,UID,tYear,AADT,ESAL,pTrucks,SingleTrucks,DoubleTrucks,TrainTrucks,Unnamed: 0,sYear,IntID,Rutting,IRI,PSC,PPC,PRC,Alli,Long,SR,Begin ARM,End ARM,Is Bridge,Lane Surface Type,Lane Miles,Region_x,Federal Functional Class,Construction End Date,Substantial Completion Date,Contract Type Description,Surface Type Code,Surface Type Description,Surface Thickness,Treat Base Type Code,Treat Base Type Description,Treat Base Thickness,UTreat Base Thickness,cYear,Traffic Year,ESALs,Construction Year,Major Rehab Year,Segment Lane Miles,ESALs Since Major Rehab,Total Thickness,Total Surface Thickness,Listed Surface Type,Pavement Type,Construction Pavement Type,Major Rehab Type,Prior Major Rehab Year,Prior Major Rehab Type,sfThick,Tthick,TSfThick,STcode,cumPPT,meanMinTemp,meanMaxTemp,cumESALs,cumFTC
0,1.0,2004,8313,43508,2.86,198,40,0,264764.0,2004.0,4048.0,0.27,255.905,95.0,39.0,76.0,,,2.0,0.0,0.1,0.0,ACP,0.36,Eastern,Urban Other Principal Arterial,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,10640.5599365,1.07818182558,24.8999999653,274171.756138,125.0
25,153.0,2004,21022,275739,12.61,1987,595,69,263826.0,2004.0,837.0,0.293,113.07,95.0,79.0,73.0,,13.0,2.0,15.22,15.32,0.0,ACP,0.2,Northwest,Urban Other Principal Arterial,12/11/1998 0:00:00,6/8/1998 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1998.0,2013.0,106965.0,1948.0,2006.0,0.72,1982763.0,2.29,0.75,ACP,ACP,Unknown,ACP,1998.0,ACP,0.15,2.29,0.75,BA,8751.70996093,1.04714283986,24.9957147326,650949.401572,81.0
39,262.0,2004,13536,171057,11.03,1052,338,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1003.0,2004,12215,82362,5.88,471,225,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1004.0,2004,14234,98203,6.29,625,249,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1005.0,2004,14091,97035,6.29,619,247,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1040.0,2004,12365,127166,9.82,913,262,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1065.0,2004,15259,232669,10.51,696,790,117,263846.0,2004.0,920.0,0.313,72.468,94.0,88.0,71.0,,13.0,2.0,106.4,106.5,0.0,ACP,0.2,North Central,Rural Other Freeway/Expressway,11/29/2007 0:00:00,8/9/2007 0:00:00,RECONSTR EXISTING ALIGN,G2,ACP CLASS 1/2IN PG64-28,0.4,0.0,,0.0,1.6,2007.0,2013.0,234020.0,1964.0,2007.0,0.06,1360751.0,2.03,0.7,ACP,ACP,ACP,ACP,1999.0,ACP,0.4,2.03,0.7,Other,2433.41000366,-4.85666664442,31.3700002035,1665813.19353,164.0
115,1189.0,2004,17101,165162,7.7,770,479,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1.0,2005,8337,43508,2.86,198,40,0,280428.0,2005.0,4048.0,0.328,236.349,95.0,45.0,70.0,,,2.0,0.0,0.1,0.0,ACP,0.36,Eastern,Urban Other Principal Arterial,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,11562.1599121,0.994166673472,24.8900000254,302899.119509,137.0
138,153.0,2005,21213,278148,12.61,2005,600,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,224.0,2005,18838,218215,10.87,1509,469,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,262.0,2005,12809,178011,12.12,1107,329,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,412.0,2005,4838,109354,17.46,519,239,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1003.0,2005,11591,96999,6.8,471,284,34,279732.0,2005.0,1722.0,0.277,115.439,97.0,78.0,75.0,,,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,1611.91000366,-5.93666664759,31.7266667684,369468.95256,126.0
198,1004.0,2005,13621,114026,6.8,553,334,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1005.0,2005,13483,113004,6.8,547,330,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1040.0,2005,12394,136857,10.29,936,289,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1065.0,2005,14687,193268,10.3,871,551,91,279522.0,2005.0,920.0,0.339,71.796,95.0,88.0,68.0,,5.0,2.0,106.4,106.5,0.0,ACP,0.2,North Central,Rural Other Freeway/Expressway,11/29/2007 0:00:00,8/9/2007 0:00:00,RECONSTR EXISTING ALIGN,G2,ACP CLASS 1/2IN PG64-28,0.4,0.0,,0.0,1.6,2007.0,2013.0,234020.0,1964.0,2007.0,0.06,1360751.0,2.03,0.7,ACP,ACP,ACP,ACP,1999.0,ACP,0.4,2.03,0.7,Other,2899.32000732,-5.06142854691,31.4928572519,1920633.29876,186.0
218,1101.0,2005,13802,181715,10.3,818,518,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1189.0,2005,17171,229968,10.86,1154,592,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1.0,2006,8411,43800,2.86,200,40,0,295168.0,2006.0,4053.0,0.068,130.181,83.0,74.0,95.0,,15.0,2.0,0.0,0.1,0.0,ACP,0.3,Eastern,Urban Other Principal Arterial,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,12686.0899658,0.938461545569,24.864615367,331670.268359,146.0
251,153.0,2006,21779,285649,12.61,2058,616,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,224.0,2006,17748,223690,11.0,1338,511,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,225.0,2006,17390,218964,11.0,1311,501,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,232.0,2006,17223,217212,11.0,1299,496,100,294820.0,2006.0,2905.0,0.086,112.748,96.0,79.0,94.0,5.0,8.0,2.0,23.17,23.27,0.0,ACP,0.2,Northwest,Urban Other Principal Arterial,12/18/1951 0:00:00,,BRIDGE,PA,PCCP,0.0,0.0,,0.0,0.0,1951.0,2013.0,119300.0,1953.0,2011.0,0.08,561339.0,1.68,0.85,ACP,ACP,ACP,ACP,2001.0,ACP,0.0,1.68,0.85,PA,9403.71008301,0.433333334203,25.691666921,654290.319437,0.0
278,412.0,2006,4841,109719,17.46,519,239,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1003.0,2006,11309,94535,6.8,459,277,33,294476.0,2006.0,1722.0,0.114,67.374,97.0,89.0,91.0,,,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,2386.91000366,-5.93499994278,31.8175001144,487930.199893,153.0
312,1004.0,2006,13392,111708,6.8,544,328,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1005.0,2006,13174,109883,6.8,535,323,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,1065.0,2006,15229,200403,10.3,903,571,94,294266.0,2006.0,920.0,0.156,69.883,62.0,88.0,87.0,,88.0,2.0,106.4,106.5,0.0,ACP,0.2,North Central,Rural Other Freeway/Expressway,11/29/2007 0:00:00,8/9/2007 0:00:00,RECONSTR EXISTING ALIGN,G2,ACP CLASS 1/2IN PG64-28,0.4,0.0,,0.0,1.6,2007.0,2013.0,234020.0,1964.0,2007.0,0.06,1360751.0,2.03,0.7,ACP,ACP,ACP,ACP,1999.0,ACP,0.4,2.03,0.7,Other,3539.02001953,-5.11750000715,31.6500000954,2177809.43031,27.0
331,1101.0,2006,14311,187829,10.3,849,537,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1189.0,2006,17372,233089,10.86,1167,599,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1.0,2007,9522,77052,4.28,329,76,2,310553.0,2007.0,2863.0,0.163,254.745,100.0,40.0,87.0,,,2.0,0.0,0.1,0.0,ACP,0.16,Northwest,Urban Other Freeway/Expressway,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,13672.5299683,0.856428578496,24.8242856434,360496.722274,167.0
373,153.0,2007,21844,286452,12.61,2064,618,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,224.0,2007,17856,225278,11.0,1346,514,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,225.0,2007,17496,220916,11.0,1319,504,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,412.0,2007,4766,62105,10.79,342,130,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1003.0,2007,11517,96488,6.8,468,282,33,310200.0,2007.0,1722.0,0.282,93.795,96.0,83.0,75.0,,10.0,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,2844.36999512,-6.36399993897,31.7720001221,608126.887416,188.0
436,1004.0,2007,13638,114172,6.8,554,334,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1005.0,2007,13416,111708,6.8,545,329,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1101.0,2007,14574,159359,10.39,1138,321,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,1189.0,2007,17447,246685,11.74,1288,658,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,1.0,2008,9361,75956,4.28,324,75,2,327063.0,2008.0,2863.0,0.158,169.07,55.0,64.0,87.0,,,2.0,0.0,0.1,0.0,ACP,0.16,Northwest,Urban Other Freeway/Expressway,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,14580.1999512,0.768000006676,24.7566665649,388402.195608,192.0
493,153.0,2008,21034,276250,12.61,1988,595,69,326408.0,2008.0,837.0,0.202,120.43,98.0,77.0,83.0,1.0,6.0,2.0,15.22,15.32,0.0,ACP,0.2,Northwest,Urban Other Principal Arterial,12/11/1998 0:00:00,6/8/1998 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1998.0,2013.0,106965.0,1948.0,2006.0,0.72,1982763.0,2.29,0.75,ACP,ACP,Unknown,ACP,1998.0,ACP,0.15,2.29,0.75,BA,4241.30993653,-0.526666671038,24.5299994151,304272.95678,67.0
502,224.0,2008,16924,213507,11.0,1276,487,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,225.0,2008,16583,209145,11.0,1250,478,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,412.0,2008,4638,115303,18.61,461,342,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,1003.0,2008,10975,91688,6.8,446,269,32,326667.0,2008.0,1722.0,0.308,76.51,85.0,87.0,72.0,,130.0,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,3235.07998657,-6.8183333079,31.6066668828,722330.484494,229.0
556,1004.0,2008,12996,108715,6.8,528,318,38,326648.0,2008.0,1681.0,0.295,92.0,92.0,83.0,73.0,,51.0,2.0,100.31,100.41,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,4/4/1995 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.8,0.0,,0.0,0.7,1995.0,2013.0,120870.0,1995.0,2003.0,0.26,1059150.0,1.5,0.8,ACP,ACP,ACP,ACP,1995.0,ACP,0.8,1.5,0.8,BA,3235.07998657,-6.8183333079,31.6066668828,809945.597298,229.0
557,1005.0,2008,12785,107401,6.8,519,313,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,1101.0,2008,13890,209583,12.09,1006,578,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,1189.0,2008,16632,235224,11.64,1196,645,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,1.0,2009,9545,77198,4.28,330,76,2,344461.0,2009.0,2863.0,0.153,160.222,100.0,67.0,88.0,,,2.0,0.0,0.1,0.0,ACP,0.16,Northwest,Urban Other Freeway/Expressway,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,15466.7199707,0.608750008047,24.8381248713,416786.707384,210.0
608,153.0,2009,20668,270940,12.61,1953,585,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,224.0,2009,16798,202575,11.32,1389,457,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,225.0,2009,16459,198432,11.32,1361,448,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,412.0,2009,4932,122640,18.61,490,364,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,1003.0,2009,11943,99481,6.8,485,293,35,344042.0,2009.0,1722.0,0.361,76.3,94.0,87.0,66.0,,5.0,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,3679.29998779,-6.89428567886,31.7085715703,840429.261761,266.0
671,1004.0,2009,13931,116508,6.8,566,341,40,344027.0,2009.0,1681.0,0.352,95.6,95.0,83.0,67.0,,5.0,2.0,100.31,100.41,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,4/4/1995 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.8,0.0,,0.0,0.7,1995.0,2013.0,120870.0,1995.0,2003.0,0.26,1059150.0,1.5,0.8,ACP,ACP,ACP,ACP,1995.0,ACP,0.8,1.5,0.8,BA,3679.29998779,-6.89428567886,31.7085715703,942369.171751,266.0
672,1005.0,2009,13704,114683,6.8,556,336,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,1101.0,2009,14334,222851,12.36,1013,685,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,1189.0,2009,12905,180602,11.54,903,530,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,1.0,2010,6482,36847,3.34,193,22,1,362951.0,2010.0,2863.0,0.184,172.0,98.0,63.0,85.0,,7.0,2.0,0.0,0.1,0.0,ACP,0.16,Northwest,Urban Other Freeway/Expressway,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,16548.3199463,0.741176471991,24.7699998968,445382.810946,214.0
728,153.0,2010,20840,204144,11.19,2044,267,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,224.0,2010,16964,204546,11.32,1403,461,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,225.0,2010,16622,200038,11.32,1375,452,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,412.0,2010,5138,80665,12.69,370,265,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,1003.0,2010,12232,106069,7.45,558,345,9,362565.0,2010.0,1722.0,0.383,88.25,55.0,84.0,63.0,,,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,4320.0199585,-6.51374995709,31.4837501049,960178.650022,305.0
789,1004.0,2010,14249,124009,7.45,650,402,10,362548.0,2010.0,1681.0,0.311,108.5,55.0,80.0,71.0,,6.0,2.0,100.31,100.41,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,4/4/1995 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.8,0.0,,0.0,0.7,1995.0,2013.0,120870.0,1995.0,2003.0,0.26,1059150.0,1.5,0.8,ACP,ACP,ACP,ACP,1995.0,ACP,0.8,1.5,0.8,BA,4320.0199585,-6.51374995709,31.4837501049,1076643.56814,305.0
790,1005.0,2010,14017,122184,7.45,639,395,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,1189.0,2010,13090,183796,11.64,924,550,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,1.0,2011,6447,36701,3.34,192,22,1,381625.0,2011.0,4048.0,0.36,234.75,84.0,46.0,66.0,,82.5,2.0,0.0,0.1,0.0,ACP,0.36,Eastern,Urban Other Principal Arterial,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,17611.539917,0.700000001325,24.6699998644,473780.863527,230.0
836,146.0,2011,36606,359124,11.19,3591,469,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,153.0,2011,20650,202466,11.19,2026,264,21,380662.0,2011.0,837.0,0.208,128.3,87.0,75.0,82.0,,,2.0,15.22,15.32,0.0,ACP,0.2,Northwest,Urban Other Principal Arterial,12/11/1998 0:00:00,6/8/1998 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1998.0,2013.0,106965.0,1948.0,2006.0,0.72,1982763.0,2.29,0.75,ACP,ACP,Unknown,ACP,1998.0,ACP,0.15,2.29,0.75,BA,8200.79003907,-0.413333351413,24.3683328628,608103.192125,105.0
863,412.0,2011,5114,80154,12.69,368,264,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,1003.0,2011,12149,105412,7.45,554,343,9,380899.0,2011.0,1722.0,0.452,81.154,95.0,86.0,56.0,,4.0,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,4829.75994873,-6.4388888677,31.3722222646,1078175.54079,331.0
912,1189.0,2011,13091,181514,11.34,884,550,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,1.0,2012,6593,37285,3.34,196,22,1,394281.0,2012.0,2863.0,0.274,203.0,91.0,55.0,75.0,,43.7,2.0,0.0,0.1,0.0,ACP,0.16,Northwest,Urban Other Freeway/Expressway,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,18980.039917,0.695263159903,24.6668420089,501980.983789,249.0
942,146.0,2012,36342,192629,5.44,1570,382,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,153.0,2012,20501,108569,5.44,886,215,14,393713.0,2012.0,837.0,0.218,138.6,97.0,72.0,81.0,,12.0,2.0,15.22,15.32,0.0,ACP,0.2,Northwest,Urban Other Principal Arterial,12/11/1998 0:00:00,6/8/1998 0:00:00,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.15,0.0,,0.0,0.0,1998.0,2013.0,106965.0,1948.0,2006.0,0.72,1982763.0,2.29,0.75,ACP,ACP,Unknown,ACP,1998.0,ACP,0.15,2.29,0.75,BA,9854.36999512,-0.354285729782,24.3657139369,708456.704129,124.0
969,412.0,2012,5064,79497,12.69,365,261,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,1003.0,2012,12738,107474,7.12,555,329,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,1189.0,2012,12961,180492,11.4,889,529,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,1.0,2013,6415,30058,2.81,164,15,1,409044.0,2013.0,4048.0,0.514,147.0,97.0,70.0,48.0,,,2.0,0.0,0.1,0.0,ACP,0.36,Eastern,Urban Other Principal Arterial,4/29/1994 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.25,3.0,Asphalt Treated Base Or Bituminous Admix,0.5,0.25,1994.0,2013.0,30058.0,1994.0,1994.0,0.16,730491.0,1.0,0.25,ACP,ACP,ACP,ACP,,,0.25,1.0,0.25,BA,19821.6899414,0.626000002027,24.6784998894,532038.983789,254.0
1043,146.0,2013,39675,151220,3.64,1063,353,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,153.0,2013,21708,83001,3.64,582,193,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,1003.0,2013,13037,110449,7.12,568,336,23,408343.0,2013.0,1722.0,0.42,71.95,94.0,88.0,59.0,,22.0,2.0,100.21,100.31,0.0,ACP,0.2,North Central,Rural Other Principal Arterial,10/2/1986 0:00:00,,RESURFACE EXISTING RDWY,BA,ACP CLASS B AR4000W,0.08,0.0,,0.0,0.0,1986.0,2013.0,107795.0,1977.0,2003.0,0.58,914226.0,1.31,0.41,ACP,ACP,ACP,ACP,1995.0,ACP,0.08,1.31,0.41,BA,5837.70996094,-6.5263636329,31.5072727203,1302916.79782,396.0
1117,1189.0,2013,13486,145471,7.93,525,487,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,1190.0,2004,11095,107128,7.7,499,311,44,263916.0,2004.0,1258.0,0.125,95.636,92.0,83.0,90.0,,52.0,2.0,118.97,119.07,0.0,ACP,0.24,North Central,Urban Other Freeway/Expressway,10/14/1992 0:00:00,,RECONSTR EXISTING ALIGN,BA,ACP CLASS B AR4000W,0.35,0.0,,0.0,0.9,1992.0,2013.0,252525.0,1992.0,2012.0,0.12,380419.0,1.4,0.5,ACP,ACP,ACP,ACP,2000.0,ACP,0.35,1.4,0.5,BA,965.889999389,-3.7240000248,32.1779998779,1117446.61201,164.0
1141,1428.0,2004,1992,29638,13.71,195,69,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
